x,y
-9342277.53703,4887871.93658
-9342315.27434,4895372.72862
-9342486.59503,4893342.78769
-9342577.43174,4892198.22416
-9342756.32216,4903922.61530
-9342782.70488,4889366.89128
-9342805.85933,4889024.30181
-9342837.25143,4902865.36211
-9342906.49215,4901792.47092
-9343018.81352,4878567.33975
-9343147.94413,4877083.32589
-9343206.94346,4883963.16759
-9343208.16797,4890121.44565
-9343289.87648,4881723.93650
-9343589.43723,4884054.01103
-9343677.60227,4877000.40226
-9343929.62959,4873574.95361
-9344033.15672,4900836.65168
-9344036.05103,4872091.25094
-9344051.85839,4894421.02804
-9344115.64446,4899758.14834
-9344165.18163,4892315.66149
-9344252.67875,4878094.03157
-9344282.73502,4897642.16841
-9344399.50916,4881821.45470
-9344543.11131,4894462.85430
-9344820.07420,4879708.43572
-9344856.80963,4879063.95207
-9344871.05853,4881854.34912
-9345060.07902,4887294.34800
-9345088.79945,4887309.20235
-9345264.12765,4876976.68914
-9345387.02437,4876983.09022
-9345505.46830,4873868.43400
-9345681.24178,4894552.62834
-9345846.43990,4891341.81886
-9345865.92082,4905237.33809
-9345899.76194,4894578.71543
-9345924.36355,4890313.44377
-9345995.38538,4889261.72437
-9346000.17212,4903106.90998
-9346032.90005,4873917.59063
-9346089.67299,4887913.00695
-9346144.66482,4872249.89168
-9346164.59101,4901000.42067
-9346214.57346,4877060.48545
-9346308.08183,4877069.65071
-9346400.47701,4897809.38329
-9346456.47071,4881948.22981
-9346608.75578,4895185.73335
-9346619.66509,4879835.32930
-9346825.71746,4877146.02825
-9347348.91907,4874358.84778
-9347663.84191,4888310.32057
-9347975.09121,4905399.57523
-9348028.74720,4882052.15458
-9348038.54332,4872427.00230
-9348134.94600,4903271.00837
-9348299.36488,4901172.06749
-9348380.18283,4877394.22293
-9348435.39730,4891575.94612
-9348543.71117,4897961.14746
-9348555.73367,4892654.43086
-9348596.81056,4897293.46086
-9348638.22141,4896744.47552
-9348751.43334,4895329.44101
-9348883.45825,4893672.70305
-9348952.92161,4892689.40126
-9349030.39998,4891619.21729
-9349100.19730,4890559.49234
-9349139.60440,4890026.46769
-9349256.82382,4888442.13086
-9349322.83628,4872513.23218
-9349332.18712,4887384.78513
-9349363.69054,4885318.48111
-9349519.87178,4883222.32968
-9349642.65718,4881645.63153
-9349955.79891,4877700.47406
-9350098.17654,4905574.94608
-9350101.62744,4875813.94299
-9350202.14894,4874592.42824
-9350358.55282,4872582.88553
-9350423.11813,4901331.75858
-9350630.95162,4881559.17658
-9351603.88397,4901406.13614
-9351818.06267,4898572.60136
-9351990.83052,4896118.26715
-9352057.28825,4895053.83313
-9352234.06361,4892603.86971
-9352273.24807,4892078.31129
-9352286.38377,4897500.90538
-9352344.93782,4891060.78606
-9352398.81645,4890303.82921
-9352399.37305,4890294.94303
-9352480.63628,4905760.53327
-9352487.42677,4883432.09953
-9352508.46615,4888698.91107
-9352529.39421,4888403.82559
-9352529.61685,4882097.56743
-9352544.97894,4881653.92775
-9352554.88638,4879742.77832
-9352569.24659,4879439.08331
-9352623.57050,4887034.98296
-9352662.42101,4878177.83733
-9352696.59609,4886084.37575
-9352702.27338,4902566.93613
-9352780.08571,4901486.63953
-9352831.18135,4878193.98749
-9352856.78484,4883461.50552
-9352928.14063,4899438.96544
-9353072.18805,4872776.14343
-9353218.57318,4895137.34544
-9353386.22034,4892715.04630
-9353746.22757,4872844.92611
-9353992.57760,4883551.61648
