st_x|st_y|count
-9307023.099573147|5037568.396033552|2
-9307474.722747294|5038031.13506948|2
-9307625.449337829|5038034.980229163|3
-9307628.900242044|5037803.533913067|3
-9307626.451213244|5037958.668883935|2
-9307627.787047135|5037870.083405662|3
-9307479.5094854|5037878.0693754945|3
-9307483.294348087|5037799.245183671|3
-9306938.719399124|5037863.576324002|2
-9307010.743109668|5037941.809481756|3
-9307169.37338405|5037869.639740867|4
-9307326.445185559|5037873.928501425|2
-9307321.992405925|5038026.254676695|2
-9307165.811160343|5038021.522176948|3
-9306553.553960979|5038156.547218283|4
-9306859.125963207|5037937.520691143|2
-9306865.248535201|5037861.505889844|2
-9306535.854161944|5039530.419388818|3
-9307602.851481197|5041675.700259027|2
-9305448.596695367|5042424.781789179|3
-9303343.433804976|5042359.680561695|3
-9302279.664750954|5042297.538889235|2
-9304930.515785215|5040129.340147169|3
-9301211.888195265|5040142.209436292|3
-9300439.553568142|5040134.961213881|2
-9301636.015455188|5041490.916984998|3
-9301217.231530821|5041511.777049944|3
-9299074.776611015|5040839.247514437|2
-9299078.784112684|5040124.754542535|2
-9299077.559598284|5040086.88640661|2
-9297713.673197087|5040084.519653028|2
-9297047.982642142|5040083.484198522|3
-9295963.619482325|5040094.874204211|3
-9295936.902804535|5041604.686253766|3
-9296120.02336689|5044381.573903923|2
-9297301.011844717|5044352.864324623|2
-9299076.001125414|5044334.365929464|2
-9299078.895432174|5043266.550490146|2
-9299074.999249997|5043339.944234102|2
-9300131.421217624|5046574.1126257675|3
-9299084.127448242|5046562.122910285|2
-9299084.238767734|5046483.524032232|2
-9296596.582106976|5046531.630614382|3
-9296916.403004024|5046527.189996776|3
-9297189.692353921|5046521.269176481|2
-9298508.717000332|5047572.123495813|2
-9297969.485386929|5047578.489069048|3
-9299090.583978707|5047637.999979544|2
-9300140.43809638|5047634.2990416065|2
-9301879.805140024|5047674.565322516|2
-9302261.964951918|5047682.263307064|2
-9302267.530926459|5047682.41134529|2
-9305452.492877545|5045104.66901776|3
-9306519.044918835|5045128.940850978|2
-9307593.723282952|5045149.5127572715|3
-9308659.941365771|5045142.556784061|3
-9308663.169631002|5046751.1476846775|2
-9306537.523954306|5047809.57701672|3
-9307070.855634697|5047825.41732801|2
